,PooledOLS,Entity RE,Time RE,Two-Way FE
Perc_3PA,"30.73*
(15.51)","30.48
(15.58)","10.34
(15.61)","20.22
(16.84)"
Perc_2PA,"-5.49
(13.93)","-5.75
(14.01)","-23.93
(14.12)","-18.48
(15.35)"
Perc_AST,"37.11***
(10.56)","37.95***
(10.90)","37.35***
(9.57)","42.73***
(9.98)"
Perc_STL,"64.49***
(13.88)","64.22***
(14.14)","78.0***
(13.33)","80.75***
(13.43)"
PFminusPFD,"0.0
(0.00)","0.0
(0.00)","-0.0
(0.00)","-0.01***
(0.00)"
OPP_Perc_3PA,"-11.8
(10.79)","-9.7
(11.14)","-14.46
(12.62)","39.27
(22.47)"
OPP_Perc_AST,"-90.21***
(14.72)","-93.99***
(15.18)","-85.69***
(14.01)","-110.39***
(17.60)"
OPP_Perc_STL,"-72.98***
(12.95)","-77.65***
(13.32)","-57.75***
(13.77)","-62.32***
(15.68)"
L1_N_Awards_Won,"3.34***
(0.62)","3.18***
(0.62)","3.06***
(0.56)","2.55***
(0.58)"
L1_Coach_RS_W_Perc_Overall,"7.91
(5.88)","6.99
(6.01)","8.47
(5.50)","4.24
(6.04)"
L1_Coach_P_W_Perc,"-5.58
(3.81)","-5.36
(3.98)","-5.34
(3.53)","-4.02
(3.81)"
AVG_PLAYER_AGE,"2.5***
(0.32)","2.65***
(0.33)","2.58***
(0.30)","2.6***
(0.33)"
Coach_N_Seasons_Overall,"0.21***
(0.07)","0.23***
(0.08)","0.19***
(0.07)","0.17*
(0.08)"
Coach_Perc_Seasons_TEAM,"4.05***
(1.30)","4.18***
(1.41)","3.72***
(1.23)","3.24*
(1.51)"
R^2 Between,0.58,0.57,0.04,0.44
R^2 Within,0.41,0.41,0.47,0.11
R^2 Overall,0.42,0.42,0.42,0.12
N,628.0,628.0,628.0,628.0
