Coach,TEAM,N_Seasons_TEAM,N_Seasons_Overall,RS_G,RS_W_Perc,P_G,W,L,G,W,L,G,W,L
Nate McMillan,ATL,3,19,1428,0.532,,,,23,11,12,76,28,48
Joe Prunty,ATL,1,2,39,0.59,,,,,,,7,3,4
Quin Snyder,ATL,1,9,657,0.581,6,2,4,6,2,4,57,23,34
Joe Mazzulla,BOS,1,1,82,0.695,20,11,9,20,11,9,20,11,9
Steve Nash,BRK,3,3,161,0.584,,,,16,7,9,16,7,9
Jacque Vaughn,BRK,2,5,301,0.359,4,0,4,8,0,8,8,0,8
Billy Donovan,CHI,3,8,636,0.566,,,,5,1,4,46,19,27
Steve Clifford,CHO,6,9,719,0.444,,,,11,3,8,21,5,16
J.B. Bickerstaff,CLE,4,7,463,0.447,5,1,4,5,1,4,10,2,8
Jason Kidd,DAL,2,7,537,0.508,,,,18,9,9,42,18,24
Michael Malone,DEN,8,10,743,0.546,20,16,4,68,37,31,68,37,31
Dwane Casey,DET,5,14,1064,0.464,,,,4,0,4,55,21,34
Steve Kerr,GSW,9,9,711,0.665,13,6,7,140,99,41,140,99,41
Stephen Silas,HOU,3,3,236,0.25,,,,,,,,,
Rick Carlisle,IND,6,21,1689,0.53,,,,35,18,17,133,63,70
Tyronn Lue,LAC,3,7,447,0.584,5,1,4,24,11,13,85,52,33
Darvin Ham,LAL,1,1,82,0.524,16,8,8,16,8,8,16,8,8
Taylor Jenkins,MEM,4,4,309,0.579,6,2,4,23,9,14,23,9,14
Erik Spoelstra,MIA,15,15,1195,0.589,23,13,10,184,109,75,184,109,75
Mike Budenholzer,MIL,5,10,801,0.604,5,1,4,65,39,26,104,56,48
Chris Finch,MIN,3,3,205,0.507,5,1,4,11,3,8,11,3,8
Willie Green,NOP,2,2,164,0.476,,,,6,2,4,6,2,4
Tom Thibodeau,NYK,3,11,834,0.572,11,6,5,16,7,9,72,31,41
Mark Daigneault,OKC,3,3,236,0.364,,,,,,,,,
Jamahl Mosley,ORL,2,2,164,0.341,,,,,,,,,
Doc Rivers,PHI,3,24,1860,0.59,11,7,4,35,20,15,215,111,104
Monty Williams,PHO,4,9,703,0.522,11,6,5,46,27,19,56,29,27
Chauncey Billups,POR,2,2,164,0.366,,,,,,,,,
Mike Brown,SAC,1,9,645,0.612,7,3,4,7,3,4,90,50,40
Gregg Popovich,SAS,27,27,2127,0.642,,,,284,170,114,284,170,114
Nick Nurse,TOR,5,5,390,0.582,,,,41,25,16,41,25,16
Will Hardy,UTA,1,1,82,0.451,,,,,,,,,
Wes Unseld,WAS,2,2,164,0.427,,,,,,,,,
